Effect4.Api.M1Origin.forkScoped_none_origins: 21/21 binders; law Effect4.Api.forkScoped_none_origins; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_poll: 5/5 binders; law Effect4.Machine.DeferredStore.map_poll; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_register: 7/7 binders; law Effect4.Machine.DeferredStore.map_register; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_setCell: 6/6 binders; law Effect4.Machine.DeferredStore.map_setCell; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_wakeBatch: 5/5 binders; law Effect4.Machine.DeferredStore.map_wakeBatch; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_cancel: 6/6 binders; law Effect4.Machine.Refinement.projects_cancel; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_cellAt: 4/4 binders; law Effect4.Machine.Refinement.projects_cellAt; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_complete: 5/5 binders; law Effect4.Machine.Refinement.projects_complete; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_drainDue: 3/3 binders; law Effect4.Machine.Refinement.projects_drainDue; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_isDone: 4/4 binders; law Effect4.Machine.Refinement.projects_isDone; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_make: 3/3 binders; law Effect4.Machine.Refinement.projects_make; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_poll: 4/4 binders; law Effect4.Machine.Refinement.projects_poll; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_register: 6/6 binders; law Effect4.Machine.Refinement.projects_register; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_setCell: 5/5 binders; law Effect4.Machine.Refinement.projects_setCell; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.projects_wakeBatch: 4/4 binders; law Effect4.Machine.Refinement.projects_wakeBatch; exact true; adapter false
Effect4.Machine.M1.Handles.cellAt_keys_subset: 4/4 binders; law Effect4.Machine.DeferredStore.cellAt_keys_subset; exact true; adapter false
Effect4.Machine.M1.Handles.complete_keys: 3/3 binders; law Effect4.Machine.DeferredStore.complete_keys; exact true; adapter false
Effect4.Machine.M1.Handles.drainDue_keys: 1/1 binders; law Effect4.Machine.DeferredStore.drainDue_keys; exact true; adapter false
Effect4.Machine.M1.Handles.flatMap_resumes_const: 2/2 binders; law Effect4.Machine.flatMap_resumes_const; exact true; adapter false
Effect4.Machine.M1.Handles.register_keys: 4/4 binders; law Effect4.Machine.DeferredStore.register_keys; exact true; adapter false
Effect4.Machine.M1.Handles.setCell_appendDue_keys: 7/7 binders; law Effect4.Machine.DeferredStore.setCell_appendDue_keys; exact true; adapter false
Effect4.Machine.M1.Handles.setCell_keys_of_subset: 4/4 binders; law Effect4.Machine.DeferredStore.setCell_keys_of_subset; exact true; adapter false
Effect4.Machine.M1.RefKernelSupport.toList_writeBackA: 6/6 binders; law Effect4.Machine.toList_writeBackA; exact true; adapter false
Effect4.Machine.M1.StoresLaws.DeferredStore.complete_cells_length: 3/3 binders; law Effect4.Machine.DeferredStore.complete_cells_length; exact true; adapter false
Effect4.Machine.M1.StoresLaws.syncOpStep_deferredCompleteWith: 3/3 binders; law Effect4.Machine.syncOpStep_deferredCompleteWith; exact true; adapter false
Effect4.Machine.M1.StoresLaws.syncOpStep_deferredInterruptWith: 3/3 binders; law Effect4.Machine.syncOpStep_deferredInterruptWith; exact true; adapter false
Effect4.Machine.M1.StoresLaws.syncOpStep_memoBuild: 3/3 binders; law Effect4.Machine.syncOpStep_memoBuild; exact true; adapter false
Effect4.Machine.M1.StoresLaws.syncOpStep_memoComplete_some: 6/6 binders; law Effect4.Machine.syncOpStep_memoComplete_some; exact true; adapter false
Effect4.Machine.M1Clock.advanceState_minted_of_evaluator: 13/13 binders; law Effect4.Machine.advanceState_minted_of_evaluator; exact true; adapter false
Effect4.Machine.M1Clock.advanceState_stable: 26/26 binders; law Effect4.Machine.advanceState_stable; exact true; adapter false
Effect4.Machine.M1Clock.advance_extends: 18/18 binders; law Effect4.Machine.advance_extends; exact true; adapter false
Effect4.Machine.M1Clock.advance_trace_mono: 20/20 binders; law Effect4.Machine.advance_trace_mono; exact true; adapter false
Effect4.Machine.M1Clock.book_advanceState: 37/37 binders; law Effect4.Machine.book_advanceState; exact true; adapter false
Effect4.Machine.M1Clock.syncOpStep_clockNow: 1/1 binders; law Effect4.Machine.syncOpStep_clockNow; exact true; adapter false
Effect4.Machine.M1Origin.fork_arm_minted: 24/24 binders; law Effect4.Machine.fork_arm_minted; exact true; adapter false
Effect4.Machine.M1Origin.launchEntrant_minted: 11/11 binders; law Effect4.Machine.launchEntrant_minted; exact true; adapter false
Effect4.Machine.M1Origin.make_keys_subset: 10/10 binders; law Effect4.Machine.make_keys_subset; exact true; adapter false
Effect4.Machine.M1Origin.spawnChild_keys_subset: 10/10 binders; law Effect4.Machine.spawnChild_keys_subset; exact true; adapter false
Effect4.Machine.M1Origin.spawn_minted: 11/11 binders; law Effect4.Machine.spawn_minted; exact true; adapter false
Effect4.Machine.M1Origin.withFiber_forkIn_minted: 15/15 binders; law Effect4.Machine.withFiber_forkIn_minted; exact true; adapter false
Effect4.Machine.M1Origin.withFiber_forkScoped_minted: 14/14 binders; law Effect4.Machine.withFiber_forkScoped_minted; exact true; adapter false
Effect4.Machine.M1Origin.withFiber_fork_minted: 14/14 binders; law Effect4.Machine.withFiber_fork_minted; exact true; adapter false
Effect4.Machine.M1Origin.withFiber_raceAll_minted: 13/13 binders; law Effect4.Machine.withFiber_raceAll_minted; exact true; adapter false
Effect4.Machine.M1OriginApproximation.launchEntrant_grows: 15/15 binders; law Effect4.Machine.launchEntrant_grows; exact true; adapter false
Effect4.Machine.M1OriginApproximation.spawn_grows: 15/15 binders; law Effect4.Machine.spawn_grows; exact true; adapter false
Effect4.Machine.M1OriginBook.fiberMeans_origin: 19/19 binders; law Effect4.Machine.fiberMeans_origin; exact true; adapter false
Effect4.Machine.M1OriginClauses.drive_launch_runs: 27/27 binders; law Effect4.Machine.drive_launch_runs; exact true; adapter false
Effect4.Machine.M1OriginClauses.launchEntrant_eq: 15/15 binders; law Effect4.Machine.launchEntrant_eq; exact true; adapter false
Effect4.Machine.M1OriginClauses.spawnChild_fields: 15/15 binders; law Effect4.Machine.spawnChild_fields; exact true; adapter false
Effect4.Machine.M1OriginClauses.spawn_eq: 15/15 binders; law Effect4.Machine.spawn_eq; exact true; adapter false
Effect4.Machine.M1OriginClauses.spawn_untracked: 15/15 binders; law Effect4.Machine.spawn_untracked; exact true; adapter false
Effect4.Machine.M1OriginClauses.withFiber_fork: 20/20 binders; law Effect4.Machine.withFiber_fork; exact true; adapter false
Effect4.Machine.M1OriginClauses.withFiber_forkIn: 21/21 binders; law Effect4.Machine.withFiber_forkIn; exact true; adapter false
Effect4.Machine.M1OriginClauses.withFiber_forkScoped_ambient: 22/22 binders; law Effect4.Machine.withFiber_forkScoped_ambient; exact true; adapter false
Effect4.Machine.M1OriginClauses.withFiber_forkScoped_none: 21/21 binders; law Effect4.Machine.withFiber_forkScoped_none; exact true; adapter false
Effect4.Machine.M1OriginClauses.withFiber_raceAll: 19/19 binders; law Effect4.Machine.withFiber_raceAll; exact true; adapter false
Effect4.Machine.RefKernelObligations.indexed_ref_step_preserves: 12/12 binders; law Effect4.Machine.indexed_ref_step_preserves; exact true; adapter false
Effect4.Machine.RefKernelObligations.refWriteBack_peek_other: 5/5 binders; law Effect4.Machine.refWriteBack_peek_other; exact true; adapter false
Effect4.Machine.Refinement.CompositionObligations.projects_compose: 14/14 binders; law Effect4.Machine.Refinement.projects_compose; exact true; adapter false
Effect4.Machine.Refinement.CompositionObligations.projects_induces_refines: 9/9 binders; law Effect4.Machine.Refinement.projects_induces_refines; exact true; adapter false
Effect4.Machine.Witnesses.M1Witnesses.w10_into_completes_on_failure: 0/0 binders; law Effect4.Machine.Witnesses.w10_into_completes_on_failure; exact true; adapter false
Effect4.Program.Agreement.M1Origin.withFiberOf_forkLayer: 4/4 binders; law Effect4.Program.Agreement.withFiberOf_forkLayer; exact true; adapter false
Effect4.Program.Agreement.M1Quiet.complete_quiet: 5/5 binders; law Effect4.Program.Agreement.DeferredStore.complete_quiet; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.deferred_register_sites: 4/4 binders; law Effect4.Program.Guard.FrameOwned.deferred_register_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.evaluateNative_frameOwned: 7/7 binders; law Effect4.Program.Guard.FrameOwned.evaluateNative_frameOwned; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.evaluatePrim_owned: 8/8 binders; law Effect4.Program.Guard.FrameOwned.evaluatePrim_owned; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.exitScoped_owned: 7/7 binders; law Effect4.Program.Guard.FrameOwned.exitScoped_owned; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.iteration_frameOwned: 7/7 binders; law Effect4.Program.Guard.FrameOwned.iteration_frameOwned; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.registerAsync_result_sites: 9/9 binders; law Effect4.Program.Guard.FrameOwned.registerAsync_result_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1.registerAsync_sites: 7/7 binders; law Effect4.Program.Guard.FrameOwned.registerAsync_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1Hooks.interruptAsCode_sites: 5/5 binders; law Effect4.Program.Guard.FrameOwned.interruptAsCode_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1Hooks.interruptCode_sites: 4/4 binders; law Effect4.Program.Guard.FrameOwned.interruptCode_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1Origin.beginRace_owned: 10/10 binders; law Effect4.Program.Guard.FrameOwned.beginRace_owned; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1Results.closeScopeUnsafe_some_sites: 7/7 binders; law Effect4.Program.Guard.FrameOwned.closeScopeUnsafe_some_sites; exact true; adapter false
Effect4.Program.Guard.FrameOwned.M1Results.countdownPark_result_owned: 11/11 binders; law Effect4.Program.Guard.FrameOwned.countdownPark_result_owned; exact true; adapter false
Effect4.Program.Guard.M1.codeSites_dueResumes: 5/5 binders; law Effect4.Program.Guard.codeSites_dueResumes; exact true; adapter false
Effect4.Program.Guard.M1.guardState_storeFresh: 5/5 binders; law Effect4.Program.Guard.guardState_storeFresh; exact true; adapter false
Effect4.Program.Guard.M1.guardState_withState: 4/4 binders; law Effect4.Program.Guard.guardState_withState; exact true; adapter false
Effect4.Program.Guard.M1.guardState_withStoreKeys: 4/4 binders; law Effect4.Program.Guard.guardState_withStoreKeys; exact true; adapter false
Effect4.Program.Guard.M1Clock.clock_resume_not_external_key: 11/11 binders; law Effect4.Program.Guard.clock_resume_not_external_key; exact true; adapter false
Effect4.Program.Guard.M1Clock.requestOf_advance_zero: 6/6 binders; law Effect4.Program.Guard.requestOf_advance_zero; exact true; adapter false
Effect4.Program.Guard.M1Clock.timer_clockStep_key: 6/6 binders; law Effect4.Program.Guard.timer_clockStep_key; exact true; adapter false
Effect4.Program.Guard.M1Clock.timer_fireNext_key: 6/6 binders; law Effect4.Program.Guard.timer_fireNext_key; exact true; adapter false
Effect4.Program.Guard.M1Completion.deferredKeys_complete_subset: 3/3 binders; law Effect4.Program.Guard.deferredKeys_complete_subset; exact true; adapter false
Effect4.Program.Guard.M1Completion.deferredKeys_due_append: 2/2 binders; law Effect4.Program.Guard.deferredKeys_due_append; exact true; adapter false
Effect4.Program.Guard.M1Origin.fiberGuardState_freshChild: 7/7 binders; law Effect4.Program.Guard.fiberGuardState_freshChild; exact true; adapter false
Effect4.Program.Guard.M1Origin.guardQueue_launchEntrant: 9/9 binders; law Effect4.Program.Guard.guardQueue_launchEntrant; exact true; adapter false
Effect4.Program.Guard.M1Origin.guardQueue_spawn: 9/9 binders; law Effect4.Program.Guard.guardQueue_spawn; exact true; adapter false
Effect4.Program.Guard.M1Origin.guardState_launchEntrant: 9/9 binders; law Effect4.Program.Guard.guardState_launchEntrant; exact true; adapter false
Effect4.Program.Guard.M1Origin.guardState_spawn: 9/9 binders; law Effect4.Program.Guard.guardState_spawn; exact true; adapter false
Effect4.Program.Guard.M1Origin.interruptedAt_launchEntrant: 9/9 binders; law Effect4.Program.Guard.interruptedAt_launchEntrant; exact true; adapter false
Effect4.Program.Guard.M1Origin.interruptedAt_spawn: 9/9 binders; law Effect4.Program.Guard.interruptedAt_spawn; exact true; adapter false
Effect4.Program.Guard.M1Origin.raceCodeOwned_beginRace: 8/8 binders; law Effect4.Program.Guard.raceCodeOwned_beginRace; exact true; adapter false
Effect4.Program.Guard.M1Origin.requestOf_launchEntrant: 9/9 binders; law Effect4.Program.Guard.requestOf_launchEntrant; exact true; adapter false
Effect4.Program.Guard.M1Origin.requestOf_spawn: 9/9 binders; law Effect4.Program.Guard.requestOf_spawn; exact true; adapter false
Effect4.Program.Guard.M1Origin.reservedKeys_launchEntrant: 9/9 binders; law Effect4.Program.Guard.reservedKeys_launchEntrant; exact true; adapter false
Effect4.Program.Guard.M1Origin.reservedKeys_spawn: 9/9 binders; law Effect4.Program.Guard.reservedKeys_spawn; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_child_below: 7/7 binders; law Effect4.Program.Guard.spawn_child_below; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_child_fresh: 8/8 binders; law Effect4.Program.Guard.spawn_child_fresh; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_child_lookup: 8/8 binders; law Effect4.Program.Guard.spawn_child_lookup; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_child_raceSites: 8/8 binders; law Effect4.Program.Guard.spawn_child_raceSites; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_machine: 7/7 binders; law Effect4.Program.Guard.spawn_machine; exact true; adapter false
Effect4.Program.Guard.M1Origin.spawn_parent_unchanged: 7/7 binders; law Effect4.Program.Guard.spawn_parent_unchanged; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.StateStep.store: 4/4 binders; law Effect4.Program.Guard.NativeState.StateStep.store; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.StateStep.storeFresh: 5/5 binders; law Effect4.Program.Guard.NativeState.StateStep.storeFresh; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.registerAsync_state: 7/7 binders; law Effect4.Program.Guard.NativeState.registerAsync_state; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.registerExternal_storeKeys: 7/7 binders; law Effect4.Program.Guard.NativeState.registerExternal_storeKeys; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.storeKeys_registerDeferred: 4/4 binders; law Effect4.Program.Guard.NativeState.storeKeys_registerDeferred; exact true; adapter false
Effect4.Program.Guard.NativeState.M1.storeKeys_sleep: 4/4 binders; law Effect4.Program.Guard.NativeState.storeKeys_sleep; exact true; adapter false
Effect4.Program.Guard.NativeState.M1Origin.StateStep.beginRace: 11/11 binders; law Effect4.Program.Guard.NativeState.StateStep.beginRace; exact true; adapter false
Effect4.Program.Guard.NativeState.M1Origin.StateStep.spawn: 10/10 binders; law Effect4.Program.Guard.NativeState.StateStep.spawn; exact true; adapter false
Effect4.Program.Guard.NativeState.M1Results.registerAsync: 7/7 binders; law Effect4.Program.Guard.NativeState.StateStep.registerAsync; exact true; adapter false
Effect4.Program.Guard.NativeStateLinks.M1Origin.Links.beginRace: 6/6 binders; law Effect4.Program.Guard.NativeStateLinks.Links.beginRace; exact true; adapter false
Effect4.Program.Guard.NativeStateLinks.M1Origin.Links.spawn: 8/8 binders; law Effect4.Program.Guard.NativeStateLinks.Links.spawn; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.advanceState_preserved: 8/8 binders; law Effect4.Program.Guard.OuterDriver.advanceState_preserved; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.advanceTick_preserved: 9/9 binders; law Effect4.Program.Guard.OuterDriver.advanceTick_preserved; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.clockStep_owed_facts: 6/6 binders; law Effect4.Program.Guard.OuterDriver.clockStep_owed_facts; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.clockStep_preserved: 5/5 binders; law Effect4.Program.Guard.OuterDriver.clockStep_preserved; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.guardState_advanceState: 8/8 binders; law Effect4.Program.Guard.OuterDriver.guardState_advanceState; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.interruptedAt_advanceState: 10/10 binders; law Effect4.Program.Guard.OuterDriver.interruptedAt_advanceState; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.requestOrInterrupted_advanceState: 12/12 binders; law Effect4.Program.Guard.OuterDriver.requestOrInterrupted_advanceState; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.reservedKeys_advanceState: 10/10 binders; law Effect4.Program.Guard.OuterDriver.reservedKeys_advanceState; exact true; adapter false
Effect4.Program.Guard.OuterDriver.M1Clock.timer_clockStep_keys: 4/4 binders; law Effect4.Program.Guard.OuterDriver.timer_clockStep_keys; exact true; adapter false
Effect4.Program.Guard.SingleGuard.M1Clock.clockStep_owed_safe: 10/10 binders; law Effect4.Program.Guard.SingleGuard.clockStep_owed_safe; exact true; adapter false
Effect4.Program.Guard.SingleGuard.M1Clock.clockStep_storeKeys: 4/4 binders; law Effect4.Program.Guard.SingleGuard.clockStep_storeKeys; exact true; adapter false
Effect4.Program.Guard.SingleGuard.M1Clock.held_advanceState: 10/10 binders; law Effect4.Program.Guard.SingleGuard.held_advanceState; exact true; adapter false
Effect4.Program.Guard.SingleGuard.M1Clock.timer_clockStep_keys: 3/3 binders; law Effect4.Program.Guard.SingleGuard.timer_clockStep_keys; exact true; adapter false
Effect4.Program.Guard.SingleGuard.M1Clock.timer_fireNext_keys: 3/3 binders; law Effect4.Program.Guard.SingleGuard.timer_fireNext_keys; exact true; adapter false
Effect4.Program.Sched.M1Actions.scopeLinkFiber_ok: 9/9 binders; law Effect4.Program.Sched.scopeLinkFiber_ok; exact true; adapter false
Effect4.Program.Sched.M1Clock.clockStep_frame: 3/3 binders; law Effect4.Program.Sched.clockStep_frame; exact true; adapter false
Effect4.Program.Sched.M1Clock.clockStep_rel: 4/4 binders; law Effect4.Program.Sched.clockStep_rel; exact true; adapter false
Effect4.Program.Sched.M1Clock.clockStep_term: 3/3 binders; law Effect4.Program.Sched.clockStep_term; exact true; adapter false
Effect4.Program.Sched.M1Clock.registerAsyncR_sleep: 6/6 binders; law Effect4.Program.Sched.registerAsyncR_sleep; exact true; adapter false
Effect4.Program.Sched.M1Clock.registerAsync_sleep: 6/6 binders; law Effect4.Program.Sched.registerAsync_sleep; exact true; adapter false
Effect4.Program.Sched.M1Deliver.storesOk_closeScopeUnsafe: 8/8 binders; law Effect4.Program.Sched.storesOk_closeScopeUnsafe; exact true; adapter false
Effect4.Program.Sched.M1Drive.clockStep_frame: 3/3 binders; law Effect4.Program.Sched.clockStep_frame; exact true; adapter false
Effect4.Program.Sched.M1Drive.clockStep_rel: 4/4 binders; law Effect4.Program.Sched.clockStep_rel; exact true; adapter false
Effect4.Program.Sched.M1Drive.clockStep_term: 3/3 binders; law Effect4.Program.Sched.clockStep_term; exact true; adapter false
Effect4.Program.Sched.M1Drive.drain_rel: 2/2 binders; law Effect4.Program.Sched.drain_rel; exact true; adapter false
Effect4.Program.Sched.M1Drive.dropFinalizer_ok: 7/7 binders; law Effect4.Program.Sched.dropFinalizer_ok; exact true; adapter false
Effect4.Program.Sched.M1Drive.dueResumes_frame: 2/2 binders; law Effect4.Program.Sched.dueResumes_frame; exact true; adapter false
Effect4.Program.Sched.M1Drive.dueResumes_term: 2/2 binders; law Effect4.Program.Sched.dueResumes_term; exact true; adapter false
Effect4.Program.Sched.M1Evaluate.registerAsyncR_await: 6/6 binders; law Effect4.Program.Sched.registerAsyncR_await; exact true; adapter false
Effect4.Program.Sched.M1Evaluate.registerAsync_await: 6/6 binders; law Effect4.Program.Sched.registerAsync_await; exact true; adapter false
Effect4.Program.Sched.M1Hooks.exit_completion_means: 2/2 binders; law Effect4.Program.Sched.exit_completion_means; exact true; adapter false
Effect4.Program.Sched.M1Hooks.storesOk_empty: 0/0 binders; law Effect4.Program.Sched.storesOk_empty; exact true; adapter false
Effect4.Program.Sched.M1Hooks.storesOk_syncOpStep: 6/6 binders; law Effect4.Program.Sched.storesOk_syncOpStep; exact true; adapter false
Effect4.Program.Sched.M1Hooks.storesOk_wakeList: 4/4 binders; law Effect4.Program.Sched.storesOk_wakeList; exact true; adapter false
Effect4.Program.Sched.M1Origin.actionAt_fork: 8/8 binders; law Effect4.Program.Sched.actionAt_fork; exact true; adapter false
Effect4.Program.Sched.M1Origin.actionAt_forkIn: 9/9 binders; law Effect4.Program.Sched.actionAt_forkIn; exact true; adapter false
Effect4.Program.Sched.M1Origin.actionAt_not_forkScoped: 8/8 binders; law Effect4.Program.Sched.actionAt_not_forkScoped; exact true; adapter false
Effect4.Program.Sched.M1Origin.actionAt_raceAll: 7/7 binders; law Effect4.Program.Sched.actionAt_raceAll; exact true; adapter false
Effect4.Program.Sched.M1Origin.beginRace_rel: 14/14 binders; law Effect4.Program.Sched.beginRace_rel; exact true; adapter false
